Title,Price,In Stock,Category,URL
"asus radeon rx 570 rog strix gaming oc graphics card, 4gb",5433,True,GPU,https://progenix.co.za/Components/Graphics-Cards/asus-radeon-rx-570-strix-gaming-oc-4gb
"gigabyte geforce rtx 3050 eagle oc low profile 6g graphics card, 6gb",5433,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-RTX-3050-EAGLE-OC-LOW-PROFILE-6G-Graphics-Card-6GB
"acer predator bifrost arc 7 a750 oc graphics card, 8gb",5774,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Acer-PREDATOR-BIFROST-ARC-7-A750-OC-Graphics-Card-8GB
"msi radeon rx 6500 xt mech 2x 4g oc graphics card, 4gb",5854,True,GPU,https://progenix.co.za/Components/Graphics-Cards/MSI-Radeon-RX-6500-XT-MECH-2X-4G-OC-Graphics-Card-4GB
"asrock intel arc 7 a750 challenger d 8gb oc graphics card, 8gb",5919,True,GPU,https://progenix.co.za/Components/Graphics-Cards/ASRock-Intel-Arc-7-A750-Challenger-D-8GB-OC-Graphics-Card-8GB
"gigabyte radeon rx 6500 xt gaming oc 4g graphics card, 4gb",5976,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-Radeon-RX-6500-XT-GAMING-OC-4G-Graphics-Card-4GB
"asus phoenix geforce rtx 3050 v2 graphics card, 8gb",6266,True,GPU,https://progenix.co.za/Components/Graphics-Cards/ASUS-PHOENIX-GeForce-RTX-3050-V2-Graphics-Card-8GB
"sapphire pulse radeon rx 7600 graphics card, 8gb",6349,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Sapphire-PULSE-Radeon-RX-7600-Graphics-Card-8GB
"msi geforce gtx 1660 super ventus xs graphics card, 6gb",6461,True,GPU,https://progenix.co.za/Components/Graphics-Cards/MSI-GeForce-GTX-1660-Super-Ventus-XS-Graphics-Card-6GB
"intel arc 7 a750 limited edition graphics card, 8gb",6640,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Intel-ARC-7-A750-Limited-Edition-Graphics-Card-8GB
"gigabyte radeon rx 6650 xt gaming oc 8g graphics card, 8gb",6761,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-Radeon-RX-6650-XT-GAMING-OC-8G-Graphics-Card-8GB
"asrock radeon rx 7600 challenger 8gb oc graphics card, 8gb",6816,True,GPU,https://progenix.co.za/Components/Graphics-Cards/ASRock-Radeon-RX-7600-CHALLENGER-8GB-OC-Graphics-Card-8GB
"palit geforce rtx 4060 stormx graphics card, 8gb",6999,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Palit-GeForce-RTX-4060-StormX-Graphics-Card-8GB
"gigabyte geforce rtx 2060 d6 6g graphics card, 6gb",7002,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-RTX-2060-D6-6G-Graphics-Card-6GB
"palit geforce rtx 4060 dual graphics card, 8gb",7299,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Palit-GeForce-RTX-4060-DUAL-Graphics-Card-8GB
"gigabyte geforce rtx 3050 windforce oc 8g graphics card, 8gb",7485,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-RTX-3050-WINDFORCE-OC-8G-Graphics-Card-8GB
"msi geforce rtx 3060 ventus 2x 12g oc graphics card, 12gb",7557,True,GPU,https://progenix.co.za/Components/Graphics-Cards/MSI-GeForce-RTX-3060-Ventus-2X-12G-OC-Graphics-Card-12GB
"gigabyte radeon rx 7600 gaming oc 8g graphics card, 8gb",7666,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-Radeon-RX-7600-GAMING-OC-8G-Graphics-Card-8GB
"gigabyte geforce rtx 2060 windforce oc 12gd graphics card, 12gb",7848,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-RTX-2060-Windforce-OC-12GD-Graphics-Card-12GB
"sapphire pulse radeon rx 7600 xt graphics card, 16gb",7849,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Sapphire-PULSE-Radeon-RX-7600-XT-Graphics-Card-16GB
"gigabyte aorus geforce rtx 3050 elite 8g graphics card, 8gb",8089,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-AORUS-GeForce-RTX-3050-ELITE-8G-Graphics-Card-8GB
"gigabyte geforce rtx 3060 gaming oc 8g graphics card, 8gb",8149,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-RTX-3060-GAMING-OC-8G-Graphics-Card-8GB
"asus geforce rtx 2060 dual evo oc graphics card, 6gb",8270,True,GPU,https://progenix.co.za/Components/Graphics-Cards/asus-geforce-rtx-2060-dual-advanced-oc-6gb-graphics-card
"msi geforce rtx 4060 ventus 2x black 8g oc graphics card, 8gb",8288,True,GPU,https://progenix.co.za/Components/Graphics-Cards/MSI-GeForce-RTX-4060-VENTUS-2X-BLACK-8G-OC-Graphics-Card-8GB
"msi geforce rtx 4060 ventus 2x white 8g oc graphics card, 8gb",8288,True,GPU,https://progenix.co.za/Components/Graphics-Cards/MSI-GeForce-RTX-4060-VENTUS-2X-WHITE-8G-OC-Graphics-Card-8GB
"gigabyte geforce rtx 4060 d6 8g itx graphics card, 8gb",8331,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-RTX-4060-D6-8G-ITX-Graphics-Card-8GB
"gigabyte geforce rtx 4060 windforce oc 8g graphics card, 8gb",8391,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-RTX-4060-WINDFORCE-OC-8G-Graphics-Card-8GB
"gigabyte geforce rtx 4060 eagle oc 8g graphics card, 8gb",8451,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-RTX-4060-EAGLE-OC-8G-Graphics-Card-8GB
"gigabyte geforce rtx 4060 oc low profile 8g graphics card, 8gb",8693,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-RTX-4060-OC-LOW-PROFILE-8G-Graphics-Card-8GB
"gigabyte geforce rtx 4060 eagle oc ice 8g graphics card, 8gb",8814,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-RTX-4060-EAGLE-OC-ICE-8G-Graphics-Card-8GB
"gigabyte geforce rtx 4060 gaming oc 8g graphics card, 8gb",9115,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-RTX-4060-GAMING-OC-8G-Graphics-Card-8GB
"palit geforce rtx 4060 ti stormx graphics card, 8gb",9149,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Palit-GeForce-RTX-4060-Ti-StormX-Graphics-Card-8GB
"gigabyte geforce rtx 4060 aero oc 8g graphics card, 8gb",9236,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-RTX-4060-AERO-OC-8G-Graphics-Card-8GB
"palit geforce rtx 4060 ti dual graphics card, 8gb",9849,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Palit-GeForce-RTX-4060-Ti-DUAL-Graphics-Card-8GB
"gigabyte aorus geforce rtx 4060 elite 8g graphics card, 8gb",9900,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-AORUS-GeForce-RTX-4060-ELITE-8G-Graphics-Card-8GB
"gigabyte radeon rx 7600 xt gaming oc 16g graphics card, 16gb",10383,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-Radeon-RX-7600-XT-GAMING-OC-16G-Graphics-Card-16GB
"sapphire pure radeon rx 7700 xt graphics card, 12gb",10449,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Sapphire-PURE-Radeon-RX-7700-XT-Graphics-Card-12GB
"gigabyte geforce rtx 3060 ti gaming oc d6x 8g graphics card, 8gb",10746,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-RTX-3060-Ti-GAMING-OC-D6X-8G-Graphics-Card-8GB
"palit geforce rtx 4060 ti dual oc graphics card, 8gb",10799,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Palit-GeForce-RTX-4060-Ti-DUAL-OC-Graphics-Card-8GB
"gigabyte geforce rtx 4060 ti eagle 8g graphics card, 8gb",10866,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-RTX-4060-Ti-EAGLE-8G-Graphics-Card-8GB
"gigabyte geforce rtx 3060 ti eagle oc 8g graphics card, 8gb",10927,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-RTX-3060-Ti-EAGLE-OC-8G-Graphics-Card-8GB
"gigabyte geforce rtx 4060 ti eagle oc 8g graphics card, 8gb",10987,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-RTX-4060-Ti-EAGLE-OC-8G-Graphics-Card-8GB
"gigabyte radeon rx 6700 xt gaming oc 12g graphics card, 12gb",10987,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-Radeon-RX-6700-XT-GAMING-OC-12G-Graphics-Card-12GB
"sapphire nitro+ radeon rx 7700 xt graphics card, 12gb",10999,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Sapphire-NITRO-Plus-Radeon-RX-7700-XT-Graphics-Card-12GB
"asus dual geforce rtx 4060 ti oc edition 8gb gddr6 graphics card, 8gb",11021,True,GPU,https://progenix.co.za/Components/Graphics-Cards/ASUS-DUAL-GeForce-RTX-4060-Ti-OC-Edition-8GB-GDDR6-Graphics-Card-8GB
"gigabyte radeon rx 6750 xt gaming oc 12g graphics card, 12gb",11108,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-Radeon-RX-6750-XT-GAMING-OC-12G-Graphics-Card-12GB
"gigabyte geforce rtx 3060 ti vision oc 8g graphics card, 8gb",11349,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-RTX-3060-Ti-VISION-OC-8G-Graphics-Card-8GB
"gigabyte radeon rx 6800 gaming oc 16g graphics card, 16gb",11349,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-Radeon-RX-6800-GAMING-OC-16G-Graphics-Card-16GB
"gigabyte radeon rx 7700 xt gaming oc 12g graphics card, 12gb",11349,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-Radeon-RX-7700-XT-GAMING-OC-12G-Graphics-Card-12GB
"msi geforce rtx 3060 ti ventus 2x 8g ocv1 lhr graphics card, 8gb",11505,True,GPU,https://progenix.co.za/Components/Graphics-Cards/MSI-GeForce-RTX-3060-Ti-VENTUS-2X-8G-OCV1-LHR-Graphics-Card-8GB
"gigabyte geforce rtx 4060 ti eagle oc ice 8g graphics card, 8gb",11772,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-RTX-4060-Ti-EAGLE-OC-ICE-8G-Graphics-Card-8GB
"palit geforce rtx 4060 ti jetstream graphics card, 16gb",11799,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Palit-GeForce-RTX-4060-Ti-JETSTREAM-Graphics-Card-16GB
"asus geforce rtx 3060 tuf gaming oc edition graphics card, 12gb",11820,True,GPU,https://progenix.co.za/Components/Graphics-Cards/ASUS-GeForce-RTX-3060-TUF-Gaming-OC-Edition-Graphics-Card-12GB
"gigabyte aorus radeon rx 6700 xt elite 12g graphics card, 12gb",11832,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-AORUS-Radeon-RX-6700-XT-ELITE-12G-Graphics-Card-12GB
"palit geforce rtx 4060 ti jetstream oc graphics card, 16gb",11899,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Palit-GeForce-RTX-4060-Ti-JETSTREAM-OC-Graphics-Card-16GB
"gigabyte geforce rtx 4060 ti gaming oc 8g graphics card, 8gb",11953,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-RTX-4060-Ti-GAMING-OC-8G-Graphics-Card-8GB
"gigabyte aorus radeon rx 6750 xt elite 12g graphics card, 12gb",12074,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-AORUS-Radeon-RX-6750-XT-ELITE-12G-Graphics-Card-12GB
"sapphire pulse radeon rx 7700 xt graphics card, 12gb",12149,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Sapphire-PULSE-Radeon-RX-7700-XT-Graphics-Card-12GB
"sapphire pulse radeon rx 7800 xt graphics card, 16gb",12299,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Sapphire-PULSE-Radeon-RX-7800-XT-Graphics-Card-16GB
"msi geforce rtx 4060 ti gaming x slim 8g graphics card, 8gb",12595,True,GPU,https://progenix.co.za/Components/Graphics-Cards/MSI-GeForce-RTX-4060-Ti-GAMING-X-SLIM-8G-Graphics-Card-8GB
"gigabyte geforce rtx 4060 ti aero oc 8g graphics card, 8gb",12678,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-RTX-4060-Ti-AERO-OC-8G-Graphics-Card-8GB
"gigabyte radeon rx 6800 aorus master 16g graphics card, 16gb",12678,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-Radeon-RX-6800-AORUS-MASTER-16G-Graphics-Card-16GB
"gigabyte radeon rx 6800 xt gaming oc 16g graphics card, 16gb",12798,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-Radeon-RX-6800-XT-GAMING-OC-16G-Graphics-Card-16GB
"msi geforce rtx 4060 ti gaming x trio 8g graphics card, 8gb",12824,True,GPU,https://progenix.co.za/Components/Graphics-Cards/MSI-GeForce-RTX-4060-Ti-GAMING-X-TRIO-8G-Graphics-Card-8GB
"asrock radeon rx 7800 xt challenger 16gb oc graphics card, 16gb",12914,True,GPU,https://progenix.co.za/Components/Graphics-Cards/ASRock-Radeon-RX-7800-XT-CHALLENGER-16GB-OC-Graphics-Card-16GB
"palit geforce rtx 4070 dual graphics card, 12gb",12949,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Palit-GeForce-RTX-4070-DUAL-Graphics-Card-12GB
"msi geforce rtx 4060 ti gaming x 8g graphics card, 8gb",13042,True,GPU,https://progenix.co.za/Components/Graphics-Cards/MSI-GeForce-RTX-4060-Ti-GAMING-X-8G-Graphics-Card-8GB
"sapphire pulse radeon rx 7900 gre 16gb graphics card, 16gb",13249,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Sapphire-PULSE-Radeon-RX-7900-GRE-16GB-Graphics-Card-16GB
"gigabyte aorus geforce rtx 3060 ti elite 8g graphics card, 8gb",13281,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-AORUS-GeForce-RTX-3060-Ti-ELITE-8G-Graphics-Card-8GB
"msi geforce rtx 4060 ti ventus 2x black 8g oc graphics card, 8gb",13347,True,GPU,https://progenix.co.za/Components/Graphics-Cards/MSI-GeForce-RTX-4060-Ti-VENTUS-2X-BLACK-8G-OC-Graphics-Card-8GB
"gigabyte aorus geforce rtx 4060 ti elite 8g graphics card, 8gb",13402,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-AORUS-GeForce-RTX-4060-Ti-ELITE-8G-Graphics-Card-8GB
"gigabyte geforce rtx 4060 ti gaming oc 16g graphics card, 16gb",13402,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-RTX-4060-Ti-GAMING-OC-16G-Graphics-Card-16GB
"sapphire nitro+ radeon rx 7800 xt graphics card, 16gb",13499,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Sapphire-NITRO-Plus-Radeon-RX-7800-XT-Graphics-Card-16GB
"gigabyte geforce rtx 4060 ti aero oc 16g graphics card, 16gb",13523,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-RTX-4060-Ti-AERO-OC-16G-Graphics-Card-16GB
"msi radeon rx 6650 xt mech 2x 8g oc graphics card, 8gb",13580,True,GPU,https://progenix.co.za/Components/Graphics-Cards/MSI-Radeon-RX-6650-XT-MECH-2X-8G-OC-Graphics-Card-8GB
"gigabyte radeon rx 7800 xt gaming oc 16g graphics card, 16gb",13644,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-Radeon-RX-7800-XT-GAMING-OC-16G-Graphics-Card-16GB
"asus proart geforce rtx 4060 oc edition 8gb gddr6 graphics card, 8gb",13874,True,GPU,https://progenix.co.za/Components/Graphics-Cards/ASUS-ProArt-GeForce-RTX-4060-OC-Edition-8GB-GDDR6-Graphics-Card-8GB
"asrock radeon rx 7900 gre challenger 16gb oc graphics card, 16gb",13999,True,GPU,https://progenix.co.za/Components/Graphics-Cards/ASRock-Radeon-RX-7900-GRE-Challenger-16GB-OC-Graphics-Card-16GB
"zotac geforce rtx 4070 super twin edge graphics card, 12gb",14199,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Zotac-GeForce-RTX-4070-SUPER-TWIN-EDGE-Graphics-Card-12GB
"msi geforce rtx 4060 ti gaming x 16g graphics card, 16gb",14261,True,GPU,https://progenix.co.za/Components/Graphics-Cards/MSI-GeForce-RTX-4060-TI-GAMING-X-16G-Graphics-Card-16GB
"sapphire radeon rx 6700 xt nitro+ 12g graphics card, 12gb",14356,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Sapphire-Radeon-RX-6700-XT-NITRO-Plus-12G-Graphics-Card-12GB
"msi geforce rtx 4060 ti gaming x slim white 16g graphics card, 16gb",14505,True,GPU,https://progenix.co.za/Components/Graphics-Cards/MSI-GeForce-RTX-4060-Ti-GAMING-X-SLIM-WHITE-16G-Graphics-Card-16GB
"zotac geforce rtx 4070 super twin edge oc graphics card, 12gb",14599,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Zotac-GeForce-RTX-4070-SUPER-TWIN-EDGE-OC-Graphics-Card-12GB
"gigabyte geforce rtx 3070 eagle 8g graphics card, 8gb",14610,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-RTX-3070-EAGLE-8G-Graphics-Card-8GB
"msi radeon rx 6650 xt gaming x 8g graphics card, 8gb",14627,True,GPU,https://progenix.co.za/Components/Graphics-Cards/MSI-Radeon-RX-6650-XT-GAMING-X-8G-Graphics-Card-8GB
"gigabyte geforce rtx 3070 eagle oc 8g graphics card, 8gb",14730,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-RTX-3070-EAGLE-OC-8G-Graphics-Card-8GB
"gigabyte geforce rtx 3070 gaming oc 8g graphics card, 8gb",14851,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-RTX-3070-GAMING-OC-8G-Graphics-Card-8GB
"gigabyte radeon rx 7900 gre gaming oc 16g graphics card, 16gb",14899,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-Radeon-RX-7900-GRE-Gaming-OC-16G-Graphics-Card-16GB
"asus tuf gaming radeon rx 7800 xt oc edition graphics card, 16gb",14919,True,GPU,https://progenix.co.za/Components/Graphics-Cards/ASUS-TUF-GAMING-Radeon-RX-7800-XT-OC-Edition-Graphics-Card-16GB
"gigabyte geforce rtx 3070 vision oc 8g graphics card, 8gb",14972,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-RTX-3070-VISION-OC-8G-Graphics-Card-8GB
"asus tuf gaming radeon rx 7700 xt oc edition graphics card, 12gb",15088,True,GPU,https://progenix.co.za/Components/Graphics-Cards/ASUS-TUF-GAMING-Radeon-RX-7700-XT-OC-Edition-Graphics-Card-12GB
"gigabyte geforce rtx 3070 ti gaming oc 8gd graphics card, 8gb",15093,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-RTX-3070-Ti-GAMING-OC-8GD-Graphics-Card-8GB
"sapphire pure radeon rx 7800 xt graphics card, 16gb",15149,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Sapphire-PURE-Radeon-RX-7800-XT-Graphics-Card-16GB
"gigabyte geforce rtx 3070 ti vision oc 8gd graphics card, 8gb",15213,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-RTX-3070-Ti-VISION-OC-8GD-Graphics-Card-8GB
"gigabyte geforce rtx 4070 12g windforce oc graphics card, 12gb",15213,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-RTX-4070-12G-WINDFORCE-OC-Graphics-Card-12GB
"zotac geforce rtx 4070 super trinity black edition graphics card, 12gb",15349,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Zotac-GeForce-RTX-4070-SUPER-TRINITY-BLACK-Edition-Graphics-Card-12GB
"gigabyte aorus geforce rtx 3070 ti master 8gd graphics card, 8gb",15455,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-AORUS-GeForce-RTX-3070-Ti-MASTER-8GD-Graphics-Card-8GB
"asus geforce rtx 4070 dual oc edition graphics card, 12gb",15456,True,GPU,https://progenix.co.za/Components/Graphics-Cards/ASUS-GeForce-RTX-4070-DUAL-OC-Edition-Graphics-Card-12GB
"gigabyte geforce rtx 4070 super windforce oc 12g graphics card, 12gb",15515,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-RTX-4070-SUPER-WINDFORCE-OC-12G-Graphics-Card-12GB
"palit geforce rtx 4070 jetstream graphics card, 12gb",15699,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Palit-GeForce-RTX-4070-JETSTREAM-Graphics-Card-12GB
"msi geforce rtx 4070 super 12g ventus 2x oc graphics card, 12gb",15797,True,GPU,https://progenix.co.za/Components/Graphics-Cards/MSI-GeForce-RTX-4070-SUPER-12G-VENTUS-2X-OC-Graphics-Card-12GB
"gigabyte geforce rtx 3080 turbo 10g graphics card, 10gb",15817,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-RTX-3080-TURBO-10G-Graphics-Card-10GB
"pny geforce rtx 3070 ti verto triple fan graphics card, 8gb",15931,True,GPU,https://progenix.co.za/Components/Graphics-Cards/PNY-GeForce-RTX-3070-Ti-VERTO-TRIPLE-FAN-Graphics-Card-8GB
"asus dual geforce rtx 4070 super oc edition 12gb gddr6x graphics card, 12gb",16984,True,GPU,https://progenix.co.za/Components/Graphics-Cards/ASUS-DUAL-GeForce-RTX-4070-SUPER-OC-Edition-12GB-GDDR6X-Graphics-Card-12GB
"gigabyte geforce rtx 4070 super eagle oc 12g graphics card, 12gb",17145,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-RTX-4070-SUPER-EAGLE-OC-12G-Graphics-Card-12GB
"gigabyte aorus geforce rtx 4070 12g master graphics card, 12gb",17266,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-AORUS-GeForce-RTX-4070-12G-MASTER-Graphics-Card-12GB
"msi geforce rtx 4070 ventus 3x 12g oc graphics card, 12gb",17307,True,GPU,https://progenix.co.za/Components/Graphics-Cards/MSI-GeForce-RTX-4070-VENTUS-3X-12G-OC-Graphics-Card-12GB
"gigabyte geforce rtx 4070 super eagle oc ice 12g graphics card, 12gb",17326,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-RTX-4070-SUPER-EAGLE-OC-ICE-12G-Graphics-Card-12GB
"gigabyte geforce rtx 4070 super gaming oc 12g graphics card, 12gb",17326,True,GPU,https://progenix.co.za/Components/Graphics-Cards/Gigabyte-GeForce-RTX-4070-SUPER-GAMING-OC-12G-Graphics-Card-12GB
